DPT,ID,0,1,2,3,4,5,6,7,8,9
ETvj,1667,,77,46,54,22,0,30,94,93,6
ETvj,26575,87,70,72,41,81,50,83,3,51,89
ETvj,44307,52,89,98,29,44,97,79,9,45,49
MbGBKxNJWzldghyjT,57278,36,43,29,74,87,51,18,94,30,
MbGBKxNJWzldghyjT,17650,,83,3,49,72,3,12,93,32,59
qBhPMgdDAumWzYXj,23736,30,98,64,81,33,45,35,81,35,99
qBhPMgdDAumWzYXj,11084,23,41,89,74,25,,8,41,91,77
qBhPMgdDAumWzYXj,96488,3,81,21,26,31,59,75,,72,
cDLZJICxWvUQm,14951,47,66,36,33,98,50,73,1,28,29
cDLZJICxWvUQm,32439,23,83,4,27,,,42,77,84,38
IhAvxKCs,24727,60,94,,46,16,98,20,95,,20
IhAvxKCs,66257,60,7,55,89,98,24,29,35,45,87
IhAvxKCs,82249,33,62,8,32,70,19,30,,0,15
IhAvxKCs,4343,41,95,91,,64,45,71,77,60,59
IhAvxKCs,76570,63,1,48,32,91,74,38,5,78,22
IhAvxKCs,96681,10,54,98,6,58,42,55,44,80,11
bRfrqlKCG,92193,66,1,,64,,96,1,38,85,62
bRfrqlKCG,79166,25,31,43,75,78,26,81,,44,79
yZodDGWg,39454,94,,89,83,45,,33,72,59,90
yZodDGWg,85072,67,42,62,50,66,3,53,4,88,42
yZodDGWg,51366,34,50,92,81,26,17,,1,25,22
JEIPgaRFYesVnCfX,96771,13,37,78,40,50,81,25,62,,6
JEIPgaRFYesVnCfX,34063,65,40,36,59,36,29,42,27,55,17
sSW,14347,,40,56,,44,46,50,26,,35
sSW,43315,5,57,28,72,93,35,,97,76,
BgalyhvuqIiQKj,61434,74,86,77,5,28,,66,77,49,1
BgalyhvuqIiQKj,33543,0,9,12,64,89,,,10,60,75
BgalyhvuqIiQKj,61664,3,63,18,76,92,80,65,53,42,14
BgalyhvuqIiQKj,93026,10,3,55,52,37,67,79,23,54,22
BgalyhvuqIiQKj,75747,2,15,56,,69,39,63,59,22,71
Ri,77620,64,50,95,84,83,10,74,95,14,2
Ri,6728,84,85,13,55,29,73,,25,94,15
Ri,69963,37,6,96,0,24,95,,50,95,29
gSIBCLcjaZh,47975,82,55,,,16,65,10,62,65,1
gSIBCLcjaZh,17837,,45,9,25,5,1,90,79,96,80
gSIBCLcjaZh,84261,69,23,92,26,,40,40,2,68,
gSIBCLcjaZh,81779,54,,78,21,18,47,69,33,26,49
gSIBCLcjaZh,29972,23,,82,52,77,57,9,98,31,78
